id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
1162822180700303563,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.70652,139.70101,建物全体,17784,3,0,,,53,133,0,M130041017
1162826029703442395,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.70633,139.69896,建物全体,17784,3,0,,,53,133,0,M130041012
1162827009788642704,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.70513,139.69884,建物全体,17784,3,0,,,53,133,0,M130041020
1163376664036004718,4 min. walk from Higashi-Shinjuku station! /i03,555389105,沙知絵,新宿区,35.69767,139.70625,建物全体,13349,1,0,,,8,231,0,M130040986
1163378926565649618,4 min. walk from Higashi-Shinjuku station! /r10,555389105,沙知絵,新宿区,35.69815,139.70547,建物全体,13349,1,2,2024-06-18,2,8,238,2,M130040987
1163418348355336841,Shinjuku Double Bed Room/Perfect Access Okubo2min,285206415,Becky,新宿区,35.70419287090212,139.69690287718478,建物全体,6143,1,2,2024-06-15,2,3,68,2,Hotels and Inns Business Act | 新宿区保健所 | 30新保衛環第213号
1163483112094265201,【Long Term】6mins to Shinjuku Sta! Stylish & Luxury,68328352,Midori,新宿区,35.70475,139.6957,建物全体,27909,30,0,,,22,127,0,M130039531
1163502046362779209,【Long Term】6mins to Shinjuku Sta! Stylish & Luxury,68328352,Midori,新宿区,35.7051,139.69447,建物全体,31829,30,0,,,22,125,0,M130038351
1163517263806267528,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.70481311078689,139.70061272588848,建物全体,18720,3,0,,,53,138,0,M130041001
1163519549828167285,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.70652,139.69973,建物全体,18720,3,0,,,53,138,0,M130041006
1163520792476006583,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.706249800723086,139.69930994388184,建物全体,18720,3,0,,,53,138,0,M130041013
1163521929347780209,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.70469975255278,139.69898621659945,建物全体,18720,3,0,,,53,138,0,M130041021
1163523377158668296,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.7067,139.69944,建物全体,18720,3,0,,,53,161,0,M130041002
1163525258938034566,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.70525559074818,139.70087989574412,建物全体,18720,3,0,,,53,161,0,M130041003
1163531155005767451,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.70465,139.69896,建物全体,18720,3,0,,,53,161,0,M130041007
1163532119053616469,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.7064,139.70062,建物全体,18720,3,0,,,53,161,0,M130041040
1163533153117961079,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.70596,139.69895,建物全体,18720,3,0,,,53,161,0,M130041015
1163535372510462856,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.704819856945356,139.70095962084855,建物全体,18720,3,0,,,53,161,0,M130041024
1163536321081260221,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.70636788781462,139.70065168499957,建物全体,18720,3,0,,,53,68,0,M130041009
1163537510191687346,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",511048475,Zishen,新宿区,35.706008104903084,139.70106110825932,建物全体,19968,3,0,,,53,115,0,M130041023
1163539450405515937,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.70499725905109,139.6992090991102,建物全体,16386,30,0,,,86,81,0,M130040992
1163541043843917002,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.706680178195015,139.70048203528907,建物全体,6700,30,0,,,86,101,0,M130041004
1163542434505055704,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.704632387373444,139.69970597944987,建物全体,6700,30,0,,,86,85,0,M130041010
1163544477171748428,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.70653048328933,139.70027087569696,建物全体,6700,30,0,,,86,84,0,M130041018
1163545759401358176,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.70648,139.6994,建物全体,7857,30,0,,,86,109,0,M130040993
1163546908257769016,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.706032772351925,139.70078106111117,建物全体,7000,30,0,,,86,101,0,M130041005
1163548822596569839,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.70671,139.6992,建物全体,7000,30,0,,,86,80,0,M130041019
1164068318957710207,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.706435256937645,139.70072413613522,建物全体,8814,30,0,,,86,133,0,M130040994
1164069577613350761,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.70483,139.69875,建物全体,8814,30,0,,,86,133,0,M130041017
1164070633508175723,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.70630237823126,139.7011224545155,建物全体,8814,30,0,,,86,133,0,M130041012
1164071468774307280,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.70662,139.70089,建物全体,8814,30,0,,,86,128,0,M130041020
1164072406408637811,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.704817917636525,139.7004962069728,建物全体,8857,30,0,,,86,103,0,M130041001
1164073649917137716,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.70452387235526,139.70104482525662,建物全体,8857,30,0,,,86,100,0,M130041006
1164075065505259959,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.70602588674699,139.69915289815836,建物全体,8857,30,0,,,86,108,0,M130041013
1164077828960529747,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.70457,139.69935,建物全体,8857,30,0,,,86,107,0,M130041021
1164097227431032579,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.706623489091385,139.70112232825892,建物全体,8857,30,0,,,86,68,0,M130041009
1164098450193372873,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.70466,139.69915,建物全体,,30,0,,,86,85,0,M130041023
1164101481670855475,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.705943472934784,139.70087767830233,建物全体,8814,30,0,,,86,161,0,M130041003
1164104662635922432,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.70642956533016,139.7005127633834,建物全体,8814,30,0,,,86,161,0,M130041040
1164106072303385543,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.70657,139.69893,建物全体,8814,30,0,,,86,161,0,M130041015
1164107028913565729,"Shinjyuku, JR Shin-Okubo Sta. 6mins. Free wifi",151970670,フューチャーリーディング,新宿区,35.70577,139.69877,建物全体,8814,30,0,,,86,161,0,M130041024
1164346389910039762,"Private JP Modern Home,  Kabukicho, Shinjuku 15min",579543751,Reta,新宿区,35.69698,139.71326,建物全体,,2,1,2024-06-04,1,1,141,1,M130040925
1166510312125960278,新宿区高田马场两室一厅精品房2楼（TUMSMS）,244663327,Urban Villa 津谷邸,新宿区,35.712532243687235,139.70094445470164,建物全体,19086,2,0,,,8,197,0,M130040105
1166707994760195910,[Monthly]東京の中心にある静かな隠れ家/モント新宿神楽坂/16名/日本伝統の神楽坂/徒歩5分,547945986,Jun,新宿区,35.70633367625086,139.73333822698365,建物全体,16086,31,0,,,3,303,0,M130037157
1166905800813157945,303新宿まで大江戸線で2分東新宿まで徒歩5分綺麗な部屋wifi 完備,106338787,Myunghee,新宿区,35.700587933450336,139.70444034572677,建物全体,12000,1,0,,,4,103,0,Hotels and Inns Business Act | 新宿区保健所 | 31新保衛環第188号
1166916665953852808,東京の中心地 新宿から1駅|周辺に飲食店多数|アクセス抜群|39㎡|Furo 桜風/D205,498793338,横山保全,新宿区,35.702128999776,139.69729980000002,建物全体,33831,2,1,2024-06-12,1,9,341,1,M130040963
1166978151640906237,東京の中心地 新宿から1駅|高速wi-fi ドラム式洗濯機完備|39㎡|Furo 秋茜/D207,498793338,横山保全,新宿区,35.7019896,139.6972998,建物全体,33562,2,0,,,9,344,0,M130040966
1166991206866528543,東新宿B3出口から徒歩4分アパート,551446931,Lee,新宿区,35.701195306621514,139.71153756441802,建物全体,14759,2,1,2024-06-27,1,5,142,1,M130037598
1167107175861195582,Shinjuku area/Free Wi-Fi/4 people/7 min to Sta.,38092840,Sayaka  &    Riku,新宿区,35.68693632014488,139.68683250454143,建物全体,15643,3,0,,,20,41,0,Hotels and Inns Business Act | 新宿区保健所 | 31新保衛環第215号
1167143818962821434,"""Only 5 minutes from Shinjuku Shin-Okubo Station",580287878,Jin Su,新宿区,35.70315727122691,139.6977216972503,建物全体,10857,1,0,,,7,114,0,Hotels and Inns Business Act | 新宿区保健所 | 30新保衛環第213号
1167161211843069382,Shinjuku shin-Okubo house,580287878,Jin Su,新宿区,35.704452715620945,139.6976499288216,建物全体,19286,1,0,,,7,58,0,Hotels and Inns Business Act | 新宿区保健所 | 30新保衛環第213号
1167168363661680014,Shinjuku shin-Okubo house,580287878,Jin Su,新宿区,35.7038756,139.6986829,建物全体,,1,4,2024-06-16,4,7,72,4,Hotels and Inns Business Act | 新宿区保健所 | 30新保衛環第213号
1167320279650294102,東京の中心地　新宿から1駅/アクセス抜群/ドラム式洗濯機完備/35㎡/Furo 冬空/D208,498793338,横山保全,新宿区,35.70207112497133,139.69728763862304,建物全体,30025,2,2,2024-06-26,2,9,332,2,M130040968
1167400080529688699,New Open Shinjuku ZUT House,580361014,Dong,新宿区,35.72209,139.67859,建物全体,56000,3,1,2024-06-12,1,1,161,1,M130037948
