id,物件名,ホストID,ホスト名,基礎自治体名,latitude,longitude,部屋タイプ,値段,最小宿泊数,レビュー数,最新レビュー日,一月あたりのレビュー数,ホストの保有物件数,貸し出している日数,リスティングのレビュー数（過去 12 か月間）,license
33840105,Akabane /Free WIFI / 13min Akabane stiation #203,253559407,Eri,北区,35.77101,139.72962,建物全体,9600,1,38,2024-05-19,0.61,28,118,10,Hotels and Inns Business Act | 東京都北区保健所 | ２北健生環き第２６号
33840185,Akabane /Free WIFI / 13min Akabane stiation #301,253559407,Eri,北区,35.77081,139.72751,建物全体,9600,1,45,2024-05-18,0.73,28,112,13,Hotels and Inns Business Act | 東京都北区保健所 | ２北健生環き第２６号
33840290,Akabane /Free WIFI / 13min Akabane stiation #302,253559407,Eri,北区,35.77069,139.72792,建物全体,12000,1,40,2024-06-17,0.65,28,147,14,Hotels and Inns Business Act | 東京都北区保健所 | ２北健生環き第２６号
33840447,6min Akabane station/Free wifi/max 4 guests #101,253559407,Eri,北区,35.7748,139.71971,建物全体,11486,1,73,2023-10-11,1.17,28,103,3,M130015237
33840697,6min Akabane station/Free wifi/max 4 guests #102,253559407,Eri,北区,35.7748,139.71943,建物全体,11486,1,75,2024-04-08,1.20,28,94,6,M130015238
33841075,6min Akabane station/Free wifi/max 6 guests #202,253559407,Eri,北区,35.77429,139.71793,建物全体,12686,1,49,2024-05-22,0.79,28,94,3,M130015244
33841351,6min Akabane station/Free wifi/max 4 guests #201,253559407,Eri,北区,35.77457,139.7182,建物全体,10971,1,118,2024-06-16,1.88,28,77,9,M130015242
33841458,6min Akabane station/Free wifi/max 6 guests #103,253559407,Eri,北区,35.77371,139.71978,建物全体,12686,1,68,2024-06-22,1.08,28,103,6,M130015241
33841594,6min Akabane station/Free wifi/max 6 guests #203,253559407,Eri,北区,35.77459,139.71985,建物全体,12686,1,59,2024-05-12,0.94,28,87,8,M130015245
33841773,6min Akabane station/Free wifi/max 4 guests #301,253559407,Eri,北区,35.77317,139.71826,建物全体,11486,1,58,2023-10-16,0.93,28,83,3,M130015247
